Timestamp,Attention,Status,Head Direction,Eyes Open,Blink Count,Blink Rate
2026-08-08 16:27:09,100,Highly Attentive,Forward,True,0,0.0
2026-08-08 16:27:10,99,Highly Attentive,Left,True,0,0.0
2026-08-08 16:27:11,99,Highly Attentive,Forward,True,0,0.0
2026-08-08 16:27:12,76,Attentive,Left,True,0,0.0
2026-08-08 16:27:13,73,Attentive,Forward,True,0,0.0
2026-08-08 16:27:14,100,Highly Attentive,Forward,True,0,0.0
2026-08-08 16:27:15,100,Highly Attentive,Forward,True,0,0.0
2026-08-08 16:27:16,99,Highly Attentive,Forward,True,0,0.0
2026-08-08 16:27:17,94,Highly Attentive,Right,True,0,0.0
2026-08-08 16:27:18,88,Highly Attentive,Forward,True,0,0.0
2026-08-08 16:27:19,85,Highly Attentive,Forward,True,0,0.0
2026-08-08 16:27:20,75,Attentive,Forward,False,0,0.0
2026-08-08 16:27:21,66,Slightly Distracted,Forward,False,1,4.5
2026-08-08 16:27:22,30,Distracted,Left,False,1,4.2
2026-08-08 16:27:23,30,Distracted,Left,False,1,3.9
2026-08-08 16:27:24,33,Distracted,Left,True,3,11.0
2026-08-08 16:27:25,54,Slightly Distracted,Left,False,5,17.3
2026-08-08 16:27:26,59,Slightly Distracted,Left,True,8,26.1
2026-08-08 16:27:28,77,Attentive,Forward,True,9,27.8
2026-08-08 16:27:29,59,Slightly Distracted,Left,True,10,29.4
2026-08-08 16:27:30,71,Attentive,Right,True,10,28.0
2026-08-08 16:27:31,74,Attentive,Forward,True,11,29.4
2026-08-08 16:27:32,99,Highly Attentive,Forward,True,11,28.1
2026-08-08 16:27:33,98,Highly Attentive,Forward,True,12,29.4
2026-08-08 16:27:34,100,Highly Attentive,Forward,True,12,28.2
2026-08-08 16:27:35,99,Highly Attentive,Forward,True,12,27.1
2026-08-08 16:27:36,100,Highly Attentive,Forward,True,12,26.1
2026-08-08 16:27:37,98,Highly Attentive,Forward,True,13,27.3
2026-08-08 16:27:38,98,Highly Attentive,Forward,True,14,28.4
2026-08-08 16:27:39,100,Highly Attentive,Forward,True,14,27.5
2026-08-08 16:27:40,100,Highly Attentive,Forward,True,14,26.6
2026-08-08 16:27:41,98,Highly Attentive,Forward,True,15,27.6
2026-08-08 16:27:42,84,Attentive,Forward,False,19,33.9
2026-08-08 16:27:43,83,Attentive,Forward,True,23,39.8
2026-08-08 16:27:44,90,Highly Attentive,Forward,True,23,38.7
2026-08-08 16:27:45,89,Highly Attentive,Forward,True,23,37.6
2026-08-08 16:27:46,83,Attentive,Forward,True,24,38.2
2026-08-08 16:27:47,90,Highly Attentive,Forward,True,24,37.2
2026-08-08 16:27:48,90,Highly Attentive,Forward,True,24,36.2
2026-08-08 16:27:49,90,Highly Attentive,Forward,True,24,35.3
2026-08-08 16:27:50,90,Highly Attentive,Forward,True,24,34.5
2026-08-08 16:27:51,90,Highly Attentive,Forward,True,24,33.6
2026-08-08 16:27:52,90,Highly Attentive,Forward,True,24,32.8
2026-08-08 16:27:53,75,Attentive,Left,True,24,32.1
